,birthState,debutDecade,count,count_decade,pct
534,Panama,1960,3,91,0.03296703296703297
535,OR,1960,6,91,0.06593406593406594
536,Distrito Nacional,1960,3,91,0.03296703296703297
537,St. Thomas,1960,2,91,0.02197802197802198
538,TX,1960,46,91,0.5054945054945055
539,NJ,1960,33,91,0.3626373626373626
540,MT,1960,2,91,0.02197802197802198
541,TN,1960,21,91,0.23076923076923078
542,Coahuila,1960,1,91,0.01098901098901099
543,CA,1960,189,91,2.076923076923077
544,KY,1960,15,91,0.16483516483516483
545,MS,1960,15,91,0.16483516483516483
546,SC,1960,12,91,0.13186813186813187
547,WV,1960,11,91,0.12087912087912088
548,Villa Clara,1960,1,91,0.01098901098901099
549,La Habana,1960,11,91,0.12087912087912088
550,IN,1960,21,91,0.23076923076923078
551,Canal Zone,1960,1,91,0.01098901098901099
552,Camaguey,1960,1,91,0.01098901098901099
553,NM,1960,1,91,0.01098901098901099
554,PA,1960,69,91,0.7582417582417582
555,IA,1960,19,91,0.2087912087912088
556,Baja California Sur,1960,1,91,0.01098901098901099
557,Bocas del Toro,1960,1,91,0.01098901098901099
558,VA,1960,18,91,0.1978021978021978
559,MD,1960,14,91,0.15384615384615385
560,OK,1960,27,91,0.2967032967032967
561,El Seibo,1960,2,91,0.02197802197802198
562,Falcon,1960,2,91,0.02197802197802198
563,Distrito Federal,1960,4,91,0.04395604395604396
564,CT,1960,14,91,0.15384615384615385
565,NH,1960,1,91,0.01098901098901099
566,MA,1960,30,91,0.32967032967032966
567,Carabobo,1960,1,91,0.01098901098901099
568,San Pedro de Macoris,1960,8,91,0.08791208791208792
569,AL,1960,30,91,0.32967032967032966
570,Zulia,1960,2,91,0.02197802197802198
571,SK,1960,1,91,0.01098901098901099
572,VT,1960,1,91,0.01098901098901099
573,ON,1960,10,91,0.10989010989010989
574,NE,1960,8,91,0.08791208791208792
575,Chihuahua,1960,1,91,0.01098901098901099
576,MI,1960,45,91,0.4945054945054945
577,OH,1960,65,91,0.7142857142857143
578,Baja California,1960,1,91,0.01098901098901099
579,ND,1960,1,91,0.01098901098901099
580,ID,1960,3,91,0.03296703296703297
581,SD,1960,2,91,0.02197802197802198
582,Suffolk,1960,1,91,0.01098901098901099
583,RI,1960,5,91,0.054945054945054944
584,UT,1960,5,91,0.054945054945054944
585,WA,1960,15,91,0.16483516483516483
586,QC,1960,6,91,0.06593406593406594
587,FL,1960,26,91,0.2857142857142857
588,Yamanashi,1960,1,91,0.01098901098901099
589,ME,1960,3,91,0.03296703296703297
590,Cheshire,1960,1,91,0.01098901098901099
591,Duarte,1960,1,91,0.01098901098901099
592,KS,1960,16,91,0.17582417582417584
593,DE,1970,2,92,0.021739130434782608
594,NJ,1970,29,92,0.31521739130434784
595,DC,1970,3,92,0.03260869565217391
596,BC,1970,3,92,0.03260869565217391
597,Barahona,1970,1,92,0.010869565217391304
598,Monte Cristi,1970,1,92,0.010869565217391304
599,Baja California Sur,1970,1,92,0.010869565217391304
600,Monagas,1970,1,92,0.010869565217391304
601,Peravia,1970,2,92,0.021739130434782608
602,Jalisco,1970,1,92,0.010869565217391304
603,Sinaloa,1970,3,92,0.03260869565217391
604,NH,1970,2,92,0.021739130434782608
605,Distrito Nacional,1970,6,92,0.06521739130434782
606,IN,1970,24,92,0.2608695652173913
607,NC,1970,21,92,0.22826086956521738
608,ND,1970,2,92,0.021739130434782608
609,Bolivar,1970,1,92,0.010869565217391304
610,NM,1970,2,92,0.021739130434782608
611,PA,1970,59,92,0.6413043478260869
612,KS,1970,15,92,0.16304347826086957
613,NV,1970,1,92,0.010869565217391304
614,Colon,1970,2,92,0.021739130434782608
615,WY,1970,3,92,0.03260869565217391
616,NE,1970,3,92,0.03260869565217391
617,IA,1970,11,92,0.11956521739130435
618,VA,1970,32,92,0.34782608695652173
619,GA,1970,18,92,0.1956521739130435
620,KY,1970,14,92,0.15217391304347827
621,AK,1970,1,92,0.010869565217391304
622,WI,1970,19,92,0.20652173913043478
623,CA,1970,272,92,2.9565217391304346
624,Okinawa,1970,1,92,0.010869565217391304
625,San Luis Potosi,1970,1,92,0.010869565217391304
626,Espaillat,1970,1,92,0.010869565217391304
627,Sonora,1970,5,92,0.05434782608695652
628,Chihuahua,1970,1,92,0.010869565217391304
629,NY,1970,58,92,0.6304347826086957
630,MN,1970,21,92,0.22826086956521738
631,Anzoategui,1970,2,92,0.021739130434782608
632,FL,1970,35,92,0.3804347826086957
633,La Habana,1970,1,92,0.010869565217391304
634,Sucre,1970,1,92,0.010869565217391304
635,HI,1970,7,92,0.07608695652173914
636,OH,1970,52,92,0.5652173913043478
637,CT,1970,7,92,0.07608695652173914
638,Chiriqui,1970,1,92,0.010869565217391304
639,TX,1970,70,92,0.7608695652173914
640,ME,1970,7,92,0.07608695652173914
641,La Romana,1970,2,92,0.021739130434782608
642,VT,1970,1,92,0.010869565217391304
643,Camaguey,1970,1,92,0.010869565217391304
644,La Vega,1970,3,92,0.03260869565217391
645,WA,1970,22,92,0.2391304347826087
646,ID,1970,1,92,0.010869565217391304
647,RI,1970,3,92,0.03260869565217391
648,AL,1970,32,92,0.34782608695652173
649,San Pedro de Macoris,1970,9,92,0.09782608695652174
650,Lara,1970,1,92,0.010869565217391304
651,MA,1970,23,92,0.25
652,Aragua,1970,2,92,0.021739130434782608
653,AR,1970,9,92,0.09782608695652174
654,Distrito Federal,1970,1,92,0.010869565217391304
655,UT,1970,3,92,0.03260869565217391
656,Canal Zone,1970,1,92,0.010869565217391304
657,OK,1970,30,92,0.32608695652173914
658,Hato Mayor,1970,1,92,0.010869565217391304
659,MD,1970,12,92,0.13043478260869565
660,SK,1970,2,92,0.021739130434782608
661,ON,1970,6,92,0.06521739130434782
662,Azua,1970,1,92,0.010869565217391304
663,MI,1970,51,92,0.5543478260869565
664,Nuevo Leon,1970,1,92,0.010869565217391304
665,San Cristobal,1970,2,92,0.021739130434782608
666,Miranda,1970,2,92,0.021739130434782608
667,Veracruz,1970,3,92,0.03260869565217391
668,SD,1970,7,92,0.07608695652173914
669,St. Croix,1970,2,92,0.021739130434782608
670,SC,1970,19,92,0.20652173913043478
671,OR,1970,13,92,0.14130434782608695
672,WV,1970,7,92,0.07608695652173914
673,TN,1970,12,92,0.13043478260869565
674,Cocle,1970,1,92,0.010869565217391304
675,Santiago,1970,9,92,0.09782608695652174
676,Coahuila,1970,1,92,0.010869565217391304
677,AZ,1970,9,92,0.09782608695652174
678,Puebla,1970,1,92,0.010869565217391304
679,MT,1970,3,92,0.03260869565217391
680,IL,1970,56,92,0.6086956521739131
681,CO,1970,12,92,0.13043478260869565
682,MO,1970,25,92,0.2717391304347826
683,MS,1970,18,92,0.1956521739130435
684,LA,1970,18,92,0.1956521739130435
685,Vargas,1980,2,103,0.019417475728155338
686,San Pedro de Macoris,1980,16,103,0.1553398058252427
687,FL,1980,69,103,0.6699029126213593
688,NJ,1980,30,103,0.2912621359223301
689,Santo Domingo,1980,2,103,0.019417475728155338
690,Nayarit,1980,1,103,0.009708737864077669
691,OR,1980,17,103,0.1650485436893204
692,ON,1980,3,103,0.02912621359223301
693,OK,1980,23,103,0.22330097087378642
694,IL,1980,58,103,0.5631067961165048
695,New South Wales,1980,1,103,0.009708737864077669
696,NY,1980,83,103,0.8058252427184466
697,NM,1980,4,103,0.038834951456310676
698,NS,1980,1,103,0.009708737864077669
699,Santiago,1980,5,103,0.04854368932038835
700,Anzoategui,1980,3,103,0.02912621359223301
701,Azua,1980,2,103,0.019417475728155338
702,Sanchez Ramirez,1980,1,103,0.009708737864077669
703,Santiago de Cuba,1980,3,103,0.02912621359223301
704,IN,1980,24,103,0.23300970873786409
705,Northamptonshire,1980,1,103,0.009708737864077669
706,Falcon,1980,1,103,0.009708737864077669
707,TX,1980,81,103,0.7864077669902912
708,OH,1980,61,103,0.5922330097087378
709,Veracruz,1980,4,103,0.038834951456310676
710,SD,1980,2,103,0.019417475728155338
711,BC,1980,2,103,0.019417475728155338
712,ID,1980,4,103,0.038834951456310676
713,DC,1980,3,103,0.02912621359223301
714,Baja California,1980,1,103,0.009708737864077669
715,NV,1980,1,103,0.009708737864077669
716,Panama,1980,1,103,0.009708737864077669
717,St. Croix,1980,1,103,0.009708737864077669
718,AR,1980,8,103,0.07766990291262135
719,MN,1980,12,103,0.11650485436893204
720,Zulia,1980,3,103,0.02912621359223301
721,Guarico,1980,1,103,0.009708737864077669
722,LA,1980,24,103,0.23300970873786409
723,MO,1980,23,103,0.22330097087378642
724,VT,1980,2,103,0.019417475728155338
725,Puerto Plata,1980,4,103,0.038834951456310676
726,CO,1980,10,103,0.0970873786407767
727,MS,1980,17,103,0.1650485436893204
728,AB,1980,1,103,0.009708737864077669
729,MT,1980,4,103,0.038834951456310676
730,Maria Trinidad Sanchez,1980,1,103,0.009708737864077669
731,WI,1980,11,103,0.10679611650485436
732,Matagalpa,1980,1,103,0.009708737864077669
733,SC,1980,18,103,0.17475728155339806
734,Pinar del Rio,1980,1,103,0.009708737864077669
735,Distrito Federal,1980,5,103,0.04854368932038835
736,TN,1980,17,103,0.1650485436893204
737,Elias Pina,1980,1,103,0.009708737864077669
738,La Habana,1980,3,103,0.02912621359223301
739,RI,1980,4,103,0.038834951456310676
740,Lara,1980,3,103,0.02912621359223301
741,UT,1980,5,103,0.04854368932038835
742,MA,1980,24,103,0.23300970873786409
743,WA,1980,27,103,0.2621359223300971
744,Carabobo,1980,3,103,0.02912621359223301
745,El Seibo,1980,1,103,0.009708737864077669
746,Hato Mayor,1980,1,103,0.009708737864077669
747,La Vega,1980,2,103,0.019417475728155338
748,MD,1980,18,103,0.17475728155339806
749,La Romana,1980,2,103,0.019417475728155338
750,ME,1980,3,103,0.02912621359223301
751,QC,1980,1,103,0.009708737864077669
752,Sucre,1980,2,103,0.019417475728155338
753,CT,1980,11,103,0.10679611650485436
754,Hessen,1980,1,103,0.009708737864077669
755,HI,1980,8,103,0.07766990291262135
756,MI,1980,33,103,0.32038834951456313
757,Valverde,1980,3,103,0.02912621359223301
758,CA,1980,317,103,3.0776699029126213
759,KY,1980,16,103,0.1553398058252427
760,KS,1980,6,103,0.05825242718446602
761,PA,1980,46,103,0.44660194174757284
762,ND,1980,1,103,0.009708737864077669
763,NE,1980,8,103,0.07766990291262135
764,AK,1980,3,103,0.02912621359223301
765,Miranda,1980,3,103,0.02912621359223301
766,IA,1980,11,103,0.10679611650485436
767,Sinaloa,1980,3,103,0.02912621359223301
768,AZ,1980,13,103,0.1262135922330097
769,Duarte,1980,1,103,0.009708737864077669
770,NC,1980,23,103,0.22330097087378642
771,Dundee,1980,1,103,0.009708737864077669
772,AL,1980,23,103,0.22330097087378642
773,WY,1980,3,103,0.02912621359223301
774,Distrito Nacional,1980,10,103,0.0970873786407767
775,Bolivar,1980,4,103,0.038834951456310676
776,VA,1980,16,103,0.1553398058252427
777,San Cristobal,1980,7,103,0.06796116504854369
778,WV,1980,6,103,0.05825242718446602
779,Monte Plata,1980,1,103,0.009708737864077669
780,NH,1980,4,103,0.038834951456310676
781,Barahona,1980,1,103,0.009708737864077669
782,Monte Cristi,1980,1,103,0.009708737864077669
783,GA,1980,29,103,0.2815533980582524
784,Monsenor Nouel,1980,1,103,0.009708737864077669
785,DE,1980,3,103,0.02912621359223301
786,Sonora,1980,2,103,0.019417475728155338
787,Peravia,1980,1,103,0.009708737864077669
788,SD,1990,3,131,0.022900763358778626
789,QC,1990,3,131,0.022900763358778626
790,Queensland,1990,1,131,0.007633587786259542
791,ON,1990,13,131,0.09923664122137404
792,San Juan,1990,6,131,0.04580152671755725
793,RI,1990,5,131,0.03816793893129771
794,El Seibo,1990,4,131,0.030534351145038167
795,AZ,1990,14,131,0.10687022900763359
796,San Luis Potosi,1990,1,131,0.007633587786259542
797,San Cristobal,1990,13,131,0.09923664122137404
798,PA,1990,60,131,0.4580152671755725
799,Peravia,1990,12,131,0.0916030534351145
800,OR,1990,20,131,0.15267175572519084
801,SC,1990,17,131,0.1297709923664122
802,Oaxaca,1990,1,131,0.007633587786259542
803,Portuguesa,1990,1,131,0.007633587786259542
804,Valverde,1990,2,131,0.015267175572519083
805,Estado de Mexico,1990,1,131,0.007633587786259542
806,Puerto Plata,1990,3,131,0.022900763358778626
807,Panama,1990,5,131,0.03816793893129771
808,Okinawa,1990,1,131,0.007633587786259542
809,Elias Pina,1990,1,131,0.007633587786259542
810,Antwerp,1990,1,131,0.007633587786259542
811,AR,1990,10,131,0.07633587786259542
812,Duarte,1990,5,131,0.03816793893129771
813,Osaka,1990,1,131,0.007633587786259542
814,Vargas,1990,4,131,0.030534351145038167
815,Espaillat,1990,1,131,0.007633587786259542
816,St. Thomas,1990,1,131,0.007633587786259542
817,Aragua,1990,5,131,0.03816793893129771
818,Carabobo,1990,5,131,0.03816793893129771
819,Zulia,1990,8,131,0.061068702290076333
820,MA,1990,36,131,0.2748091603053435
821,MB,1990,1,131,0.007633587786259542
822,Capital Territory,1990,1,131,0.007633587786259542
823,Hato Mayor,1990,3,131,0.022900763358778626
824,MD,1990,20,131,0.15267175572519084
825,Western Australia,1990,1,131,0.007633587786259542
826,Tokyo,1990,1,131,0.007633587786259542
827,HI,1990,3,131,0.022900763358778626
828,ME,1990,1,131,0.007633587786259542
829,AL,1990,25,131,0.19083969465648856
830,Sucre,1990,3,131,0.022900763358778626
831,UT,1990,1,131,0.007633587786259542
832,MI,1990,39,131,0.29770992366412213
833,MN,1990,12,131,0.0916030534351145
834,CO,1990,9,131,0.06870229007633588
835,MO,1990,31,131,0.2366412213740458
836,AB,1990,2,131,0.015267175572519083
837,MS,1990,23,131,0.17557251908396945
838,Distrito Federal,1990,17,131,0.1297709923664122
839,Anzoategui,1990,4,131,0.030534351145038167
840,MT,1990,3,131,0.022900763358778626
